"id","code","code_name","pg_key","sequence","se_only"
26,"101","都道府県コード","PREF_CD",1,1
27,"102","消費税種類","",1,1
28,"103","消費税区分","",1,1
29,"104","端数処理区分","",1,1
30,"105","決済処理区分","",1,1
31,"106","メール種別","",1,1
32,"201","ポイント種類","",1,1
33,"202","ポイント移動区分","",1,1
34,"203","ポイント移動理由","",1,1
35,"204","ポイント有効期限区分","",1,1
36,"301","販売ステータス","",1,1
37,"302","在庫管理区分","",1,1
38,"304","取引先種類","",1,1
39,"401","性別","GENDER",1,1
40,"501","受注ステータス","ORDER_STATUS",1,1
41,"502","決済ステータス","PAYMENT_STATUS",1,1
42,"503","決済方法","",1,1
43,"504","配送時間帯","",1,1
44,"505","出荷ステータス","",1,1
45,"506","配送先区分","",1,1
46,"100","メール設定","",1,1
47,"1001","配送条件","",1001,1
48,"1002","納期目安","",1002,1
